@relation test_nov-1-30

@attribute ip numeric
@attribute ' rt_w/o_ACK' numeric
@attribute ' rt_under_3' numeric
@attribute ' max_ips_1sub' numeric
@attribute ' max_high' numeric
@attribute ' max_low' numeric
@attribute ' max_cnsc_high' numeric
@attribute ' max_cnsc_low' numeric
@attribute ' num_uniq_dsts' numeric
@attribute ' num_uniq_srcp' numeric
@attribute ' avg_srcp/dst' numeric
@attribute ' rt_std_flags' numeric
@attribute ' rt_over_60' numeric
@attribute ' med_pack/dst' numeric
@attribute ' rt_std_pttrn' numeric
@attribute ' rt_bksctr_pttrn' numeric
@attribute ' rt_dst' numeric
@attribute ' rt_srcp' numeric
@attribute ' rt_bksctr_flags' numeric
@attribute ' min_pack' numeric
@attribute ' max_pack' numeric
@attribute ' mean_pack' numeric
@attribute ' std_dev_pack' numeric
@attribute ' min_dur' numeric
@attribute ' max_dur' numeric
@attribute ' mean_dur' numeric
@attribute ' std_dev_dur' numeric
@attribute ' min_bytes' numeric
@attribute ' max_bytes' numeric
@attribute ' mean_bytes' numeric
@attribute ' std_dev_bytes' numeric
@attribute ' min_bpp' numeric
@attribute ' max_bpp' numeric
@attribute ' mean_bpp' numeric
@attribute ' std_dev_bpp' numeric
@attribute ' tcp_count' numeric
@attribute ' udp_count' numeric
@attribute ' label' numeric

@data
1797143,0.909091,0.909091,1,4,0,1,1,4,31,7.75,0.030303,0.272727,1,0.030303,0,0.121212,0.939394,0.030303,1,6,1.69697,1.184138,0,27.712,2.813091,5.335099,48,1680,165.757576,281.748443,48,315,83.848485,66.13869,3,30,1
1797353,1,1,2,0,1,1,1,207,207,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.296,2.970899,0.071104,104,104,104,0,52,52,52,0,207,0,1
1797613,1,1,2,0,1,1,1,161,160,1,0,0,2,0,0,1,0.993789,0,2,2,2,0,2.816,3.072,2.962087,0.05754,104,104,104,0,52,52,52,0,161,0,1
1797657,1,1,1,0,1,1,1,101,100,1,0,0,2,0,0,1,0.990099,0,2,2,2,0,2.816,3.04,2.959208,0.044,96,96,96,0,48,48,48,0,101,0,1
1798597,1,1,2,0,1,1,1,203,197,1,0,0,2,0,0,1,0.970443,0,2,2,2,0,2.784,3.392,2.979468,0.07915,96,96,96,0,48,48,48,0,203,0,1
1799195,1,1,1,0,1,1,1,43,43,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.168,2.981953,0.066917,104,104,104,0,52,52,52,0,43,0,1
1799663,1,1,2,0,1,1,1,80,79,1,0,0,2,0,0,1,0.9875,0,2,2,2,0,2.848,3.232,2.9904,0.081461,96,96,96,0,48,48,48,0,80,0,1
1799742,1,1,2,0,1,1,1,144,142,1,0,0,2,0,0,1,0.986111,0,2,2,2,0,2.816,3.104,2.96,0.053005,96,96,96,0,48,48,48,0,144,0,1
1799751,1,1,1,0,1,1,1,44,43,1,0,0,2,0,0,1,0.977273,0,2,2,2,0,2.848,3.04,2.954909,0.055181,96,96,96,0,48,48,48,0,44,0,1
1800034,1,1,2,0,1,1,1,77,77,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.04,2.95439,0.055102,104,104,104,0,52,52,52,0,77,0,1
1800174,1,1,2,0,1,1,1,108,108,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.072,2.946667,0.057591,96,96,96,0,48,48,48,0,108,0,1
1800358,1,1,2,0,1,1,1,88,88,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.072,2.949091,0.049353,96,96,96,0,48,48,48,0,88,0,1
1800441,1,1,2,1,1,1,1,240,234,1,0,0.012448,2,0,0,0.995851,0.970954,0,1,2,1.987552,0.110436,0,3.168,2.936432,0.335642,96,313,98.634855,23.379668,48,313,51.232365,28.679892,238,3,1
1800750,1,1,2,0,1,1,1,307,306,1.003257,0,0,2,0,0,0.996753,0.993506,0,1,2,1.993506,0.079338,0,3.2,2.946182,0.24416,52,104,103.662338,4.125595,52,52,52,0,308,0,1
1801394,1,1,2,0,1,1,1,103,102,1,0,0,2,0,0,1,0.990291,0,2,2,2,0,2.816,3.168,2.965126,0.069292,96,96,96,0,48,48,48,0,103,0,1
1801402,1,1,2,1,1,1,1,49,48,1,0,0.020408,2,0,0,1,0.979592,0,1,2,1.979592,0.138013,0,3.136,2.896327,0.411274,96,131,96.714286,4.830454,48,131,49.693878,11.455076,48,1,1
1801412,1,1,1,0,1,1,1,36,36,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.04,2.954667,0.048197,96,96,96,0,48,48,48,0,36,0,1
1801414,0.617021,0.680851,1,11,0,1,1,3,11,3.666667,0.12766,0.553191,5,0,0,0.06383,0.234043,0.12766,1,21,2.744681,3.267227,0,32.608,2.689362,6.131128,40,4329,328.234043,626.944719,40,341,98.638298,68.044998,18,29,1
1801719,1,1,1,0,1,1,1,157,153,1,0,0,2,0,0,1,0.974522,0,2,2,2,0,2.816,3.168,2.958268,0.054039,96,96,96,0,48,48,48,0,157,0,1
1802020,1,1,2,0,1,1,1,135,134,1,0,0,2,0,0,1,0.992593,0,2,2,2,0,2.784,3.072,2.945896,0.060775,96,96,96,0,48,48,48,0,135,0,1
1802589,1,1,2,0,1,1,1,50,49,1,0,0,2,0,0,1,0.98,0,2,2,2,0,2.848,3.104,2.9536,0.066585,96,96,96,0,48,48,48,0,50,0,1
1802648,1,1,2,0,1,1,1,51,51,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.104,2.972863,0.052912,96,96,96,0,48,48,48,0,51,0,1
1803244,1,1,1,0,1,1,1,70,71,1.028571,0,0,2,0,0,0.972222,0.986111,0,2,2,2,0,2.848,3.168,2.975556,0.069226,96,96,96,0,48,48,48,0,72,0,1
1803655,1,1,2,0,1,1,1,65,65,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.136,2.994215,0.071867,104,104,104,0,52,52,52,0,65,0,1
1803777,1,1,2,0,1,1,1,78,76,1,0,0,2,0,0,1,0.974359,0,2,2,2,0,2.848,3.04,2.950974,0.043051,96,96,96,0,48,48,48,0,78,0,1
1803830,1,1,3,1,1,1,1,346,344,1,0,0.00289,2,0,0,1,0.99422,0,1,2,1.99711,0.053567,0,3.04,2.939746,0.165832,104,131,104.078035,1.446317,52,131,52.228324,4.231816,345,1,1
1803876,1,1,2,1,1,1,1,189,187,1,0,0.010582,2,0,0,1,0.989418,0,1,2,1.984127,0.122888,0,3.2,2.921651,0.371924,52,131,104.010582,4.645404,52,131,52.835979,7.892421,187,2,1
1804107,1,1,2,0,1,1,1,120,117,1,0,0,2,0,0,1,0.975,0,1,2,1.983333,0.115193,0,3.072,2.908533,0.346363,48,96,95.2,5.529285,48,48,48,0,120,0,1
1804286,1,1,2,0,1,1,1,152,149,1,0,0,2,0,0,1,0.980263,0,2,2,2,0,2.816,3.04,2.946737,0.052306,96,96,96,0,48,48,48,0,152,0,1
1804364,1,1,1,1,1,1,1,81,80,1,0,0.024691,2,0,0,1,0.987654,0,1,2,1.975309,0.154178,0,3.136,2.90884,0.466017,104,296,106.641975,21.170966,52,296,55.925926,27.874566,79,2,1
1804413,1,1,2,0,1,1,1,123,123,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.104,2.947902,0.054672,96,96,96,0,48,48,48,0,123,0,1
